the_geom,ID Upra,ID Incoder,Nombre Distrito,Código departamento,Departamento,Código municipio,Municipio,Vereda,Área neta,Área bruta,Escala,Altitud,Tipo de Distrito ,Etapa Distrito,Funciona,Numero usuarios,Administra,Asociación de usuarios,Resolucion,Usos actuales,CAR,Fuentes hídricas,Concesion,Polígono,Entidad fuente,Longitud,Latitud,Nombre subzona hidrográfica,Código Subzona hidrográfica
POINT (-72.92483051838985 5.595402608840621),ADTP0089,91,CORDONCILLO,15,BOYACÁ,15226,CUÍTIVA,SIN INFORMACIÓN,200,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,130,ASOCIACION DE USUARIOS,ASOCORDONCILLO,85 del 24/03/1998,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,72° 55.490' W,5° 35.724' N,Lago de Tota,3516
POINT (-72.93319821792085 5.589737720637809),ADTP0090,92,LLANO GRANDE,15,BOYACÁ,15226,CUÍTIVA,SIN INFORMACIÓN,150,0,Pequeña,422,Riego y Drenaje,AOM,SI,209,SIN INFORMACIÓN,ASOLLANO,460 del 13/09/2011,Papa,,,,,,,,,
POINT (-72.42389636359063 6.350785553236014),ADTP0091,93,AGUA BLANCA,15,BOYACÁ,15244,EL COCUY,SIN INFORMACIÓN,390,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,108,ASOCIACION DE USUARIOS,ASOAGUABLANCA,92 del 08/02/2001,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,72° 25.434' W,6° 21.047' N,Río Chicamocha,2403
POINT (-72.44456811811054 6.2962468231274),ADTP0092,94,ASOSIERRANEVADA,15,BOYACÁ,15244,EL COCUY,SIN INFORMACIÓN,486,0,Pequeña,0,Riego y Drenaje,AOM,SI,160,ASOCIACION DE USUARIOS,ASOSIERRANEVADA,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-73.4457402359127 5.358650808018544),ADTP0110,108,AMARILLAL,15,BOYACÁ,15494,NUEVO COLÓN,SIN INFORMACIÓN,40,0,Pequeña,0,Riego y Drenaje,AOM,SI,50,ASOCIACION DE USUARIOS,ASOPROGRESO,216 del 21/05/2013,SIN INFORMACIÓN,CORPOCHIVOR,Q. Grande,NO,NO,PROYECTAMOS,73° 26.744' W,5° 21.519' N,Río Garagoa,3507
POINT (-72.46633732604928 6.322898269202625),ADTP0096,95,PANTANO GRANDE,15,BOYACÁ,15244,EL COCUY,PALCHACUAL,,,,,,,,,,,,,,,,,,,,,
POINT (-72.44039307627871 6.319400480048883),ADTP0097,96,UPAL,15,BOYACÁ,15244,EL COCUY,EL UPAL,36,0,Pequeña,0,Riego y Drenaje,AOM,SI,31,ASOCIACION DE USUARIOS,ASOELUPAL,362 del 28/06/1996,Papa,,,,,,,,,
POINT (-72.5208777015648 6.484425973256412),ADTP0098,97,BURRERA,15,BOYACÁ,15248,EL ESPINO,LA BURRERA,,,,,,,,,,,,,,,,,,,,,
POINT (-72.75439680618314 5.795895799845274),ADTP0099,98,REMOLIMO,15,BOYACÁ,15296,GÁMEZA,VILLA GIRON,,,,,,,,,,,,,,,,,,,,,
POINT (-72.51645471303495 6.414695993041891),ADTP0100,99,ARRAYAL,15,BOYACÁ,15317,GUACAMAYAS,SIN INFORMACIÓN,360,0,Pequeña,0,Riego y Drenaje,AOM,SI,185,ASOCIACION DE USUARIOS,ASOARRAYANES,8 del 01/01/1997,Pastos,,,,,,,,,
POINT (-73.50970161544265 4.904942793771935),ADTP0102,100,FONSAQUE,15,BOYACÁ,15325,GUAYATÁ,FONSAQUE ARRIBA Y ABAJO,51,0,Pequeña,1923,Riego y Drenaje,AOM,SI,25,ASOCIACION DE USUARIOS,ASOFONSAQUE,128 del 30/04/1998,Pastos,,,,,,,,,
POINT (-73.52467172324683 4.952947685734025),ADTP0103,101,SOCHAQUIRAS,15,BOYACÁ,15325,GUAYATÁ,SOCHAQUIRAS,96,0,Pequeña,0,Riego y Drenaje,AOM,SI,83,ASOCIACION DE USUARIOS,ASOSOCHAQUIRAS,562 del 16/07/2002,Pastos,,,,,,,,,
POINT (-73.43505304855869 5.1034971453365605),ADTP0104,102,BARRO BLANCO,15,BOYACÁ,15380,LA CAPILLA,BARRO BLANCO ABAJO,,,,,,,,,,,,,,,,,,,,,
POINT (-73.47271260330311 5.099776309677345),ADTP0105,103,LAS PALMAS,15,BOYACÁ,15380,LA CAPILLA,PALMA ABAJO,63,0,Pequeña,2073,Riego y Drenaje,AOM,SI,63,ASOCIACION DE USUARIOS,ASOLASPALMAS,134 del 10/03/2003,Pastos,,,,,,,,,
POINT (-72.5553716541145 6.245246357035683),ADTP0106,104,CUSAGUI - CABRERITA,15,BOYACÁ,15403,LA UVITA,CUSAGUI CABRERITA,44,0,Pequeña,2656,Riego y Drenaje,AOM,SI,30,ASOCIACION DE USUARIOS,ASOCUSAGUI-CABRERITA - ASOCUSACABRERITA (Antes),124 del 10/03/2003,Pastos,,,,,,,,,
POINT (-72.52388574399141 6.268385463952054),ADTP0107,105,SAN IGNACIO,15,BOYACÁ,15403,LA UVITA,SAN IGNACIO,75,0,Pequeña,2612,Riego y Drenaje,AOM,SI,35,ASOCIACION DE USUARIOS,ASOSANIGNACIO,393 del 21/06/1990,Pastos,,,,,,,,,
POINT (-73.34532385268554 4.979309406910695),ADTP0108,106,DATIL,15,BOYACÁ,15425,MACANAL,DATIL,50,0,Pequeña,0,Riego y Drenaje,AOM,SI,105,ASOCIACION DE USUARIOS,ASODATIL,481 del 01/12/1997,Pastos,,,,,,,,,
POINT (-73.46771473630427 5.326094766437627),ADTP0111,109,JABONERA,15,BOYACÁ,15494,NUEVO COLÓN,SIN INFORMACIÓN,50,0,Pequeña,2667,Riego y Drenaje,AOM,SI,50,ASOCIACION DE USUARIOS,ASOJABONERA,391 del 28/06/1996,Pastos,,,,,,,,,
POINT (-73.18865802041522 5.86826658137737),ADTP0112,110,PEÑA BLANCA,15,BOYACÁ,15516,PAIPA,SIN INFORMACIÓN,40,0,Pequeña,0,Riego y Drenaje,AOM,SI,40,ASOCIACION DE USUARIOS,ASOPEÑABLANCA,660 del 02/10/1996,Pastos,,,,,,,,,
