Ciclo,Departamento,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Cesar,Ahuyama,Siembras,2022,0,2.49,17.97,13.86,13.8,0,27.95,20.96,0,0.6,1.79,0.6
Transitorio,Córdoba,Ahuyama,Siembras,2022,0,0,0,23.82,57.98,0,0,0,9.1,9.1,0,0
Transitorio,Cundinamarca,Ahuyama,Siembras,2022,1.5,0.57,41.09,15.45,2.2,7.2,0.8,0.7,20.88,6.67,0.61,2.33
Transitorio,Huila,Ahuyama,Siembras,2022,2.24,13.74,19.75,7.51,5.38,8.66,6.84,9.33,9.79,5.77,7.33,3.67
Transitorio,La guajira,Ahuyama,Siembras,2022,0,0,2.77,9.05,13.26,4.45,3.89,8.99,37.03,20.55,0.01,0
Transitorio,Magdalena,Ahuyama,Siembras,2022,0,33.01,21.92,0,0,0,32.51,12.32,0.25,0,0,0
Transitorio,Meta,Ahuyama,Siembras,2022,0,0,0,16.67,16.67,0,0,46.67,20,0,0,0
Transitorio,Nariño,Ahuyama,Siembras,2022,2.92,8.4,16.45,13.95,8.91,2.57,11.35,11.1,15.9,5.21,2.03,1.22
Transitorio,Norte de Santander,Ahuyama,Siembras,2022,0,34.55,34.55,0,0,0,2.83,8.38,14.04,0,5.66,0
Transitorio,Quindío,Ahuyama,Siembras,2022,0,53.6,2.31,2.31,21.62,0.08,5.51,7.88,0,0.02,0.02,6.64
Transitorio,Santander,Ahuyama,Siembras,2022,8.75,11.97,13.8,15.9,19.56,8,5.43,5.78,6.3,1.96,1.64,0.92
Transitorio,Sucre,Ahuyama,Siembras,2022,0,0,0,77.78,22.22,0,0,0,0,0,0,0
Transitorio,Tolima,Ahuyama,Siembras,2022,0,0,14.44,27.76,7.92,0,0,1.07,14.59,22.37,11.83,0.02
Transitorio,Valle del Cauca,Ahuyama,Siembras,2022,3.54,10.83,15.77,10.05,7.94,2.25,5.49,8.34,14.5,12.78,5.9,2.61
Transitorio,Casanare,Ahuyama,Siembras,2022,0,0.89,0.35,59.2,29.33,9.78,0.02,0.08,0.16,0.1,0.08,0
Transitorio,Amazonas,Ahuyama,Siembras,2022,2.92,8.4,16.45,13.95,8.91,2.57,11.35,11.1,15.9,5.21,2.03,1.22
Transitorio,Vichada,Ahuyama,Siembras,2022,0,0,0,15.24,27.62,0,0,0,0,45.71,11.43,0
Transitorio,Antioquia,Ají,Cosechas,2022,2.75,2.75,0,0,0,58.09,25.67,8.82,0,0,0,1.92
Transitorio,Atlántico,Ají,Cosechas,2022,1.09,0.67,0.25,1.98,1.21,0.39,11.27,18.94,9,15.67,14.03,25.51
Transitorio,Bolívar,Ají,Cosechas,2022,1.98,0.01,2.62,2.61,0,5.68,26.04,20.45,20.92,15.8,1.94,1.96
Transitorio,Boyacá,Ají,Cosechas,2022,9,0,0,0,0,72.8,18.2,0,0,0,0,0
Transitorio,Caquetá,Ají,Cosechas,2022,3.75,1.07,3.16,3.82,14.64,12.9,8.03,10.45,5.26,17.29,12.84,6.8
Transitorio,Cauca,Ají,Cosechas,2022,3.75,1.07,3.16,3.82,14.64,12.9,8.03,10.45,5.26,17.29,12.84,6.8
Transitorio,Cesar,Ají,Cosechas,2022,0,0,0,0,1.79,1.07,26.25,25.54,0,1.79,31.07,12.5
Transitorio,Córdoba,Ají,Cosechas,2022,0.35,1.56,1.33,0,0,0.28,24.51,31.96,25.06,4.61,5.49,4.85
Transitorio,Chocó,Ají,Cosechas,2022,20,20,0,0,0,0,0,0,0,0,30,30
